variable,n_missing,pct_missing
sample_id,0,0
phlda2,0,0
col4a4,0,0
lipg,0,0
c11orf9,0,0
eif2b2,0,0
habp2,0,0
galntl4,0,0
galntl2,0,0
ovgp1,0,0
c8orf45,0,0
gpr124,0,0
obfc2a,0,0
atg16l2,0,0
erbb2,0,0
gnal,0,0
dennd2a,0,0
meis3,0,0
hs3st2,0,0
ptprn,0,0
f3,0,0
c3orf66,0,0
wdr17,0,0
s100a6,0,0
cubn,0,0
ag2,0,0
calml6,0,0
ncoa7,0,0
loc728264,0,0
il6,0,0
acrc,0,0
ipo8,0,0
pappa,0,0
kcne4,0,0
mc1r,0,0
mrpl19,0,0
slc23a3,0,0
tal1,0,0
npas2,0,0
c17orf70,0,0
c11orf41,0,0
cnot1,0,0
c12orf27,0,0
gria3,0,0
hnrnpl,0,0
znf69,0,0
itga10,0,0
saa4,0,0
s100a11,0,0
col1a1,0,0
flj23867,0,0
il1r2,0,0
c1orf106,0,0
mmp10,0,0
vil1,0,0
wnt7b,0,0
c1orf126,0,0
sh2d3a,0,0
c2cd4a,0,0
mst1r,0,0
txk,0,0
hgs,0,0
ier3,0,0
gapdh,0,0
ly6h,0,0
c2orf70,0,0
dok4,0,0
ibtk,0,0
myeov,0,0
flj35776,0,0
gpr111,0,0
c10orf47,0,0
slc6a13,0,0
rhov,0,0
rbms2,0,0
btbd16,0,0
tbp,0,0
gucy1b2,0,0
s100a10,0,0
cldn14,0,0
chrna10,0,0
padi1,0,0
dkk1,0,0
col18a1,0,0
age_at_dx,0,0
usc73_86,0,0
age,0,0
race,0,0
os_years,0,0
os_status,0,0
usc73_91,0,0
stage,0,0
