tau_years,n_test,n_eligible,cases_le_tau,controls_at_tau,cens_lt_tau,unique_time,estimable,direction
1,64,62,9,53,2,47,FALSE,TCGA -> UPSC
1.5,64,58,12,46,6,47,TRUE,TCGA -> UPSC
2,64,57,17,40,7,47,TRUE,TCGA -> UPSC
2.5,64,53,18,35,11,47,TRUE,TCGA -> UPSC
3,64,53,21,32,11,47,TRUE,TCGA -> UPSC
3.5,64,51,22,29,13,47,TRUE,TCGA -> UPSC
4,64,50,23,27,14,47,TRUE,TCGA -> UPSC
5,64,42,24,18,22,47,TRUE,TCGA -> UPSC
1,58,51,3,48,7,51,FALSE,UPSC -> TCGA
1.5,58,43,7,36,15,51,FALSE,UPSC -> TCGA
2,58,34,10,24,24,51,TRUE,UPSC -> TCGA
2.5,58,29,12,17,29,51,TRUE,UPSC -> TCGA
3,58,24,14,10,34,51,TRUE,UPSC -> TCGA
3.5,58,21,15,6,37,51,FALSE,UPSC -> TCGA
4,58,21,15,6,37,51,FALSE,UPSC -> TCGA
5,58,21,15,6,37,51,FALSE,UPSC -> TCGA
